epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,343.229,2.09001,4.83273,1.86605,0.11176,0.10811,0.04993,0.01788,1.94333,5.27171,1.71883,0.00021671,0.00021671,0.00021671
2,895.517,1.72199,2.50851,1.51166,0.19622,0.08108,0.08187,0.03618,1.70642,10.3424,1.80962,0.000441178,0.000441178,0.000441178
3,1373.73,1.66587,2.0522,1.49643,0.25479,0.23879,0.22395,0.11669,1.60004,7.92898,1.63212,0.000656405,0.000656405,0.000656405
4,1790.21,1.67383,1.71454,1.40957,0.18193,0.21622,0.16426,0.07249,2.0445,159.017,1.97875,0.000862389,0.000862389,0.000862389
5,2190.77,1.69805,1.72248,1.42146,0.09543,0.21622,0.0633,0.02994,1.86215,464.351,1.80362,0.00105913,0.00105913,0.00105913
6,2592.79,1.63319,1.66614,1.39964,0.14263,0.52027,0.16738,0.08044,1.98738,6.15798,1.99915,0.00124663,0.00124663,0.00124663
7,2958.91,1.69578,1.65067,1.40634,0.71214,0.23909,0.21449,0.10081,1.893,6.53583,1.97341,0.00142489,0.00142489,0.00142489
8,3373.21,1.58655,1.44566,1.35896,0.39338,0.50676,0.51141,0.21206,1.87497,4.00413,1.92762,0.00143595,0.00143595,0.00143595
9,3914.96,1.62528,1.43878,1.39738,0.29481,0.32432,0.33173,0.183,1.63596,3.54291,1.67965,0.00140295,0.00140295,0.00140295
10,4688.75,1.49675,1.31939,1.3148,0.57221,0.50676,0.56686,0.21405,1.90554,2.41003,1.87898,0.00136994,0.00136994,0.00136994
11,5371.43,1.60169,1.39486,1.40964,0.57535,0.46622,0.45467,0.1665,1.84646,3.91067,1.71617,0.00133693,0.00133693,0.00133693
12,5913.5,1.55532,1.34609,1.30253,0.37899,0.52027,0.47762,0.2239,1.79554,5.09038,1.73702,0.00130393,0.00130393,0.00130393
13,6585.4,1.4767,1.24839,1.30778,0.58651,0.53378,0.54942,0.31598,1.65276,2.04053,1.56174,0.00127092,0.00127092,0.00127092
14,6975.73,1.51132,1.26577,1.30363,0.66527,0.58784,0.56665,0.29064,1.71822,2.84217,1.60278,0.00123791,0.00123791,0.00123791
15,7381.09,1.51805,1.20317,1.30088,0.54939,0.46622,0.57488,0.26803,1.75356,2.05947,1.68779,0.00120491,0.00120491,0.00120491
16,7745.03,1.43489,1.22968,1.28246,0.78937,0.47973,0.56485,0.28828,1.54468,2.16711,1.49974,0.0011719,0.0011719,0.0011719
17,8105.37,1.33941,1.08471,1.22367,0.49603,0.56081,0.57487,0.25819,1.79849,2.05235,1.65392,0.00113889,0.00113889,0.00113889
18,8560.01,1.36037,1.06756,1.2222,0.36361,0.62838,0.41585,0.22121,1.6575,1.54476,1.58194,0.00110589,0.00110589,0.00110589
19,8991.72,1.45562,1.15558,1.31186,0.52354,0.56081,0.57582,0.24305,1.66231,1.93767,1.60086,0.00107288,0.00107288,0.00107288
20,9366.19,1.35909,1.04797,1.21538,0.53601,0.57432,0.58935,0.2483,1.67173,1.87389,1.47694,0.00103987,0.00103987,0.00103987
